"","T_CNR4_Avg","SW_in_HQ_temp_Avg","Tair_15m_Avg"
"8252",20.63571,20.60603,21.33543
"8253",21.54574,21.35062,22.1713
"8254",23.37431,22.96185,23.83676
"8255",25.23396,24.65768,25.38238
"8256",26.64299,25.91969,26.52377
"8257",27.45186,26.68843,27.07318
"8258",28.39228,27.59116,27.7506
"8259",29.49052,28.57836,28.56535
"8260",30.50245,29.51409,29.42264
"8261",29.88189,29.23012,29.39344
"8262",28.73565,28.46509,28.96576
"8263",28.41891,28.31846,28.94781
"8264",27.69785,27.85374,28.81022
"8265",27.9039,27.87838,28.96353
"8266",27.98987,27.85616,28.91831
"8267",27.76309,27.6084,28.63929
"8268",27.34441,27.33318,28.25142
"8269",26.80875,26.78535,27.65512
"8270",26.33039,26.24778,26.8423
"8271",25.62504,25.43209,25.97721
"8272",24.90567,24.7295,25.34483
"8273",23.36414,23.18206,23.70247
"8274",23.05102,23.13482,23.96345
"8275",20.65847,20.91725,21.7216
"8276",19.26525,19.21747,19.97129
"8277",18.16056,16.77868,17.68622
"8278",18.72826,16.68812,17.41034
"8279",18.69961,16.98767,17.49004
"8280",19.17602,17.42152,17.71774
"8281",19.48232,17.35186,17.97763
"8282",18.70299,17.55619,18.5091
"8283",17.97796,17.31069,18.33452
"8284",19.87032,16.91145,17.84972
"8285",20.08851,16.96518,17.79863
"8286",20.38366,16.82626,17.7117
"8287",21.13133,16.36054,17.50389
"8288",20.83947,15.80225,16.91663
"8289",20.17563,15.64766,16.71261
"8290",20.12346,15.58609,16.6629
"8291",19.9355,15.68744,16.71397
"8292",19.46909,15.54566,16.47602
"8293",19.34191,15.25138,16.22925
"8294",19.17733,15.32917,16.27571
"8295",19.05271,15.27836,16.1977
"8296",19.56871,15.04677,16.12545
"8297",19.32772,15.17541,16.16723
"8298",19.45253,15.28442,16.316
"8299",20.75826,15.66256,17.00213
"8300",20.51858,16.40293,17.56616
"8301",18.66655,17.85427,18.93009
"8302",19.81641,19.3155,20.31524
"8303",21.08426,20.40711,21.25051
"8304",22.5202,21.61821,22.37023
"8305",23.47925,22.55003,22.9759
"8306",24.84834,23.83448,24.02488
"8307",26.18777,25.05938,25.0187
"8308",27.47748,26.26335,25.97962
"8309",28.94385,27.64883,27.2437
"8310",29.87046,28.56195,27.9983
"8311",31.31144,30.01352,29.47576
"8312",32.42733,31.14033,30.7141
"8313",32.9141,31.66304,31.09181
"8314",33.17466,32.03324,31.93678
"8315",33.30392,32.31253,32.00219
"8316",33.05903,31.99641,32.23281
"8317",32.66362,31.80927,32.14226
"8318",32.41915,31.83633,32.49447
"8319",31.72301,31.39093,32.26135
"8320",31.02831,31.07702,31.79097
"8321",29.21377,29.50848,30.38272
"8322",27.44026,28.03464,29.36584
"8323",26.53234,27.08051,28.30154
"8324",25.4752,25.75167,26.67086
"8325",24.02208,24.34099,25.42181
"8326",23.44518,23.84349,24.95764
"8327",23.36184,23.75019,24.82038
"8328",22.05145,22.18674,22.92099
"8329",21.30411,21.44637,22.58707
"8330",20.62986,20.80579,22.20884
"8331",20.30053,20.43832,21.38927
"8332",20.06609,20.26533,21.34937
"8333",19.56769,19.76036,20.90286
"8334",18.81555,19.02052,20.27485
"8335",18.38614,18.58285,19.99617
"8336",18.29895,18.54693,20.07665
"8337",18.17181,18.32591,19.76998
"8338",18.16409,18.17477,19.37924
"8339",18.07168,18.0318,19.17396
"8340",18.05056,18.01871,19.49859
"8341",17.46302,17.47191,18.7564
"8342",17.25823,17.38786,19.09573
"8343",16.83238,16.96693,18.71647
"8344",16.81882,17.02144,18.53146
"8345",16.846,16.64,17.91105
"8346",20.23672,16.25219,17.63564
"8347",22.2354,16.46787,17.99062
"8348",20.01589,17.7553,19.50665
"8349",20.54053,19.81386,21.40812
"8350",22.7238,22.07312,23.6304
"8351",24.33924,23.48517,24.64302
"8352",25.49169,24.34209,25.17308
"8353",26.52308,25.26954,25.84525
"8354",28.11056,26.82902,27.19151
"8355",28.99836,27.63981,27.62985
"8356",29.7556,28.46935,28.29032
"8357",31.39071,29.99455,29.64946
"8358",31.84621,30.42809,29.85165
"8359",32.40287,31.12637,30.65899
"8360",33.78875,32.58089,32.26172
"8361",34.00163,32.72927,32.16111
"8362",34.09582,32.80806,32.40434
"8363",33.10944,32.04844,31.91756
"8364",31.84511,31.21718,31.42848
"8365",32.61337,31.90604,32.0073
"8366",32.22423,31.74057,32.14773
"8367",31.73695,31.55558,32.14857
"8368",31.19645,31.19779,31.73459
"8369",30.34018,30.62707,31.56728
"8370",28.51258,28.95376,29.95578
"8371",26.9248,27.57092,28.95627
"8372",26.13156,26.85279,28.50978
"8373",25.68455,26.41409,27.78549
"8374",24.42363,24.84834,25.79771
"8375",22.85183,23.20664,24.25653
"8376",23.11479,23.48702,24.73074
"8377",22.40417,22.63535,23.58213
"8378",21.30398,21.51938,22.55479
"8379",20.64373,20.82034,21.80613
"8380",20.58811,20.7065,21.71468
"8381",19.9471,20.05396,21.34787
"8382",19.72431,19.83709,20.82318
"8383",20.27172,20.38269,21.48644
"8384",19.80182,19.76568,20.81964
"8385",19.07853,19.0743,20.05914
"8386",18.80352,18.96768,19.95088
"8387",18.72171,18.99178,20.00618
"8388",18.27204,18.51138,19.71708
"8389",17.7351,17.98499,19.29174
"8390",17.39649,17.53034,18.73198
"8391",17.69507,17.84724,19.05801
"8392",17.4171,17.48379,18.57751
"8393",16.55568,16.5274,17.78919
"8394",16.66695,16.6442,17.96293
"8395",17.01724,16.96669,18.24535
"8396",17.64974,17.57655,18.51243
"8397",18.95321,18.83512,19.69732
"8398",20.52637,20.31419,21.0275
"8399",22.5867,22.14857,22.9026
"8400",24.81924,24.05869,24.76829
"8401",25.82807,25.12085,25.56939
"8402",27.49022,26.62179,26.84155
"8403",28.47886,27.6178,27.87875
"8404",29.70496,28.67986,28.79663
"8405",29.13778,28.37275,28.61072
"8406",28.97748,28.35827,28.6221
"8407",30.88593,30.04256,29.94519
"8408",30.77084,29.98106,29.87228
"8409",30.35039,29.56488,29.67035
"8410",29.36618,28.85823,29.1277
"8411",29.34565,28.88653,28.98813
"8412",28.86024,28.46404,28.67806
"8413",27.78678,27.60023,28.03407
"8414",27.82913,27.63127,28.13236
"8415",27.18117,27.03966,27.60062
"8416",25.73364,25.49171,25.96979
"8417",24.5044,24.35705,25.11155
"8418",22.59265,22.38768,23.07088
"8419",20.97691,21.28441,22.62918
"8420",20.91507,20.98422,22.45624
"8421",20.9544,20.96458,22.11097
"8422",20.96968,20.87572,21.81698
"8423",20.97429,20.80107,22.01132
"8424",21.26509,21.11767,22.24177
"8425",21.31612,21.21101,22.33747
"8426",21.09082,21.07487,21.99549
"8427",20.86161,20.80004,21.84178
"8428",20.20606,20.2597,21.31284
"8429",19.51261,19.7356,20.94374
"8430",18.9935,19.27548,20.68247
"8431",18.36734,18.5244,19.71834
"8432",17.74521,17.74294,18.72594
"8433",20.05547,17.64117,18.78047
"8434",21.95987,17.77372,19.01053
"8435",23.13704,17.87986,18.96939
"8436",23.88613,17.95937,19.11923
"8437",21.72545,18.08763,19.1754
"8438",18.80475,18.0008,19.16171
"8439",18.30571,18.02625,19.05211
"8440",17.99203,17.8531,18.719
"8441",19.69315,17.78992,18.70225
"8442",19.17773,17.93742,18.82725
"8443",18.8509,18.02308,18.81013
"8444",18.562,17.85813,18.61811
"8445",19.0562,17.2927,18.13198
"8446",19.14291,17.15235,18.12311
"8447",19.35661,17.46428,18.32728
"8448",19.43176,17.71316,18.50184
"8449",19.61963,17.83265,18.64474
"8450",20.18206,17.98903,18.90813
"8451",20.79826,18.222,19.22152
"8452",21.14455,18.51517,19.45732
"8453",20.59025,18.3144,19.147
"8454",18.82226,16.81517,17.7401
"8455",19.69199,16.63791,17.62298
"8456",19.29549,16.44659,17.17398
"8457",19.40771,16.55504,17.26336
"8458",19.4335,16.7683,17.42007
"8459",18.61908,16.49133,17.1463
"8460",18.38145,16.45538,17.05968
"8461",18.508,16.38983,17.01298
"8462",18.61048,16.46693,17.10989
"8463",18.64018,16.54773,17.17113
"8464",19.04109,16.72503,17.39973
"8465",19.05106,16.76275,17.5554
"8466",19.22543,16.84516,17.68969
"8467",19.13855,16.8455,17.61641
"8468",19.27406,16.89897,17.674
"8469",19.70667,17.0237,17.82691
"8470",19.80416,17.02146,17.8016
"8471",19.86312,16.99761,17.80168
"8472",19.62271,17.09733,17.86225
"8473",19.364,17.1043,17.82074
"8474",19.80925,17.19723,17.93972
"8475",20.65969,17.30487,18.18967
"8476",21.22856,17.49889,18.57126
"8477",22.22336,17.56655,18.74338
"8478",21.62511,17.55786,18.59829
"8479",22.15458,17.50861,18.6807
"8480",21.45708,17.60119,18.69644
"8481",19.99489,17.57757,18.39598
"8482",20.27078,17.53983,18.399
"8483",20.1564,17.47985,18.39017
"8484",20.12383,17.38183,18.30157
"8485",19.42041,17.04515,17.94184
"8486",18.78719,16.29239,17.30229
"8487",18.05325,15.49971,16.49093
"8488",17.28993,14.87103,15.74831
"8489",16.99759,14.30789,15.24209
"8490",16.79583,13.98499,14.85337
"8491",16.81083,14.05822,15.05114
"8492",17.23377,14.31656,15.33045
"8493",17.85616,15.1339,16.20033
"8494",18.442,15.87628,16.78906
"8495",17.98439,17.28832,18.13553
"8496",18.14686,18.18476,18.82639
"8497",18.81977,19.01617,19.48142
"8498",19.35031,19.39873,19.8155
"8499",20.16712,20.06533,20.36253
"8500",20.56629,20.3865,20.58025
"8501",21.4767,21.17517,21.25788
"8502",21.92288,21.63191,21.59882
"8503",22.53428,22.23045,22.20009
"8504",23.12826,22.80072,22.69983
"8505",23.51583,23.1721,23.06236
"8506",24.0184,23.62525,23.75666
"8507",24.12206,23.80385,23.99273
"8508",24.12486,23.87038,24.16878
"8509",23.98517,23.70592,24.00429
"8510",23.19823,23.00601,23.56366
"8511",22.76056,22.67608,23.27109
"8512",22.53452,22.5269,23.0964
"8513",21.62607,21.70178,22.2951
"8514",20.68587,20.81314,21.48845
"8515",19.8679,19.99809,20.64925
"8516",19.12324,19.29476,20.06301
"8517",18.72784,18.89602,19.77458
"8518",17.96593,18.15249,19.00682
"8519",17.31497,17.50499,18.42335
"8520",17.16141,17.35973,18.26488
"8521",17.25508,17.4172,18.23919
"8522",16.93198,17.08679,18.01245
"8523",16.62704,16.69012,17.44963
"8524",16.3074,16.40542,17.25965
"8525",15.8943,15.99636,16.8463
"8526",15.56919,15.63825,16.43325
"8527",15.05692,15.13465,16.03489
"8528",14.33113,14.50203,15.57694
"8529",13.59951,13.8084,15.28776
"8530",13.32333,13.21775,14.56222
"8531",15.80345,12.87367,14.13446
"8532",17.26376,12.90126,14.0028
"8533",17.29415,12.51321,13.59573
"8534",16.83283,12.76695,13.76829
"8535",17.32638,12.19183,13.26836
"8536",17.58545,11.35808,12.59358
"8537",17.3175,11.38112,12.59091
"8538",17.3517,11.37026,12.58379
"8539",18.64992,12.29068,13.84843
"8540",18.75075,13.693,15.49533
"8541",16.77898,15.0246,17.32391
"8542",17.79828,16.92502,19.36879
"8543",19.16472,18.45102,20.29594
"8544",20.68126,19.81552,21.27402
"8545",22.05877,20.9555,22.07562
"8546",23.10441,21.73642,22.78731
"8547",23.06126,21.96152,22.23896
"8548",23.80832,22.81335,22.86753
"8549",24.64071,23.41166,23.44049
"8550",25.29565,24.0706,24.08576
"8551",26.02583,24.88242,24.79982
"8552",26.67362,25.56074,25.4455
"8553",27.26312,26.27764,25.94027
